pool,window_id,window_start_ts,window_seconds,n_events,sigma_per_sqrt_s,dt_seconds,w_ticks,n_samples,pin_empirical_mean,pin_empirical_sd,pin_gaussian,delta_empirical_minus_gaussian
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,300,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,600,200,1500,0.999609,0.007574,0.999997,-0.000388
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,600,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,600,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,1800,200,1500,0.995096,0.042187,0.996504,-0.001408
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,1800,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,1800,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,3600,200,1500,0.971760,0.099267,0.972076,-0.000316
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,3600,500,1500,1.000000,0.000000,0.999998,0.000002
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,3600,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,7200,200,1500,0.926322,0.169694,0.902887,0.023435
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,7200,500,1500,0.999576,0.004440,0.999565,0.000011
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,7200,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,21600,200,1500,0.777513,0.274872,0.709574,0.067939
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,21600,500,1500,0.971002,0.097153,0.974594,-0.003592
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,21600,1000,1500,1.000000,0.000000,0.999929,0.000071
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,43200,200,1500,0.570241,0.248812,0.570310,-0.000069
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,43200,500,1500,0.927560,0.165598,0.908350,0.019211
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,43200,1000,1500,1.000000,0.000000,0.997023,0.002977
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,2,200,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,2,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,2,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,10,200,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,10,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,10,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,30,200,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,30,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,30,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,60,200,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,60,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,60,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,120,200,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,120,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,120,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3,1738038955,86400,16756,9.542396e-05,300,200,1500,1.000000,0.000000,1.000000,0.000000
